DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Feb-2026,EQ,"1,509.90","1,550.90","1,505.10","1,512.70","1,543.40","1,546.90","1,540.12","1,552.80","1,182.70",935468,"1,44,07,30,645.60",21551
19-Feb-2026,EQ,"1,551.00","1,551.30","1,504.00","1,543.40","1,508.00","1,512.70","1,529.85","1,552.80","1,182.70",657967,"1,00,65,91,933.60",22009
18-Feb-2026,EQ,"1,534.90","1,552.80","1,519.60","1,529.70","1,542.50","1,543.40","1,535.12","1,552.80","1,182.70",1073285,"1,64,76,17,989.20",42407
17-Feb-2026,EQ,"1,540.00","1,540.00","1,513.20","1,530.60","1,533.00","1,529.70","1,525.39","1,546.80","1,182.70",444923,"67,86,80,329.30",23923
16-Feb-2026,EQ,"1,530.00","1,539.80","1,517.40","1,525.40","1,532.00","1,530.60","1,528.85","1,546.80","1,182.70",300771,"45,98,33,756.40",18606
13-Feb-2026,EQ,"1,534.00","1,534.00","1,510.20","1,535.80","1,521.30","1,525.40","1,522.80","1,546.80","1,182.70",534253,"81,35,60,411.10",22395
12-Feb-2026,EQ,"1,502.30","1,546.80","1,488.60","1,506.50","1,534.00","1,535.80","1,519.76","1,546.80","1,182.70",1343371,"2,04,16,04,576.70",41952
11-Feb-2026,EQ,"1,482.80","1,509.50","1,472.30","1,475.60","1,502.60","1,506.50","1,492.96","1,531.00","1,182.70",633002,"94,50,45,041.20",39762
10-Feb-2026,EQ,"1,510.00","1,530.00","1,459.30","1,502.90","1,478.00","1,475.60","1,492.64","1,531.00","1,182.70",1416129,"2,11,37,65,305.00",39500
09-Feb-2026,EQ,"1,440.00","1,506.00","1,431.40","1,435.00","1,502.00","1,502.90","1,487.19","1,531.00","1,182.70",769229,"1,14,39,86,971.70",36894
06-Feb-2026,EQ,"1,420.00","1,439.40","1,404.10","1,426.80","1,436.00","1,435.00","1,422.66","1,531.00","1,182.70",458866,"65,28,09,949.90",19519
05-Feb-2026,EQ,"1,429.00","1,434.20","1,404.70","1,419.50","1,427.10","1,426.80","1,423.22","1,531.00","1,182.70",392029,"55,79,44,382.30",18405
04-Feb-2026,EQ,"1,368.40","1,427.00","1,360.20","1,366.90","1,425.80","1,419.50","1,404.98","1,531.00","1,182.70",598049,"84,02,45,518.00",25262
03-Feb-2026,EQ,"1,351.00","1,387.00","1,350.10","1,326.80","1,368.60","1,366.90","1,363.35","1,531.00","1,182.70",885505,"1,20,72,56,855.50",33340
02-Feb-2026,EQ,"1,297.40","1,331.70","1,270.00","1,294.80","1,326.20","1,326.80","1,298.40","1,531.00","1,182.70",804266,"1,04,42,59,164.40",42953
01-Feb-2026,EQ,"1,328.00","1,331.10","1,283.30","1,327.90","1,296.30","1,294.80","1,305.79","1,531.00","1,135.00",248364,"32,43,12,414.00",14100
30-Jan-2026,EQ,"1,341.40","1,364.20","1,280.00","1,349.10","1,323.00","1,327.90","1,326.57","1,531.00","1,135.00",1448958,"1,92,21,50,916.00",53747
29-Jan-2026,EQ,"1,374.90","1,374.90","1,332.60","1,372.90","1,349.90","1,349.10","1,354.34","1,531.00","1,135.00",712808,"96,53,87,836.60",30569
28-Jan-2026,EQ,"1,341.00","1,379.90","1,333.60","1,330.60","1,379.00","1,372.90","1,352.37","1,531.00","1,135.00",744898,"1,00,73,77,073.50",25461
27-Jan-2026,EQ,"1,320.00","1,343.40","1,288.00","1,315.40","1,340.80","1,330.60","1,311.99","1,531.00","1,135.00",879649,"1,15,40,93,462.20",32977
23-Jan-2026,EQ,"1,298.00","1,363.00","1,295.00","1,293.50","1,315.40","1,315.40","1,334.39","1,600.00","1,135.00",1639531,"2,18,77,66,286.30",51017
22-Jan-2026,EQ,"1,304.00","1,313.00","1,274.90","1,290.60","1,294.80","1,293.50","1,292.68","1,600.00","1,135.00",740297,"95,69,69,318.30",30936
21-Jan-2026,EQ,"1,320.00","1,331.30","1,274.20","1,324.30","1,291.00","1,290.60","1,294.68","1,600.00","1,135.00",868081,"1,12,38,85,826.30",40190
20-Jan-2026,EQ,"1,390.50","1,402.40","1,319.20","1,398.40","1,331.40","1,324.30","1,350.35","1,600.00","1,135.00",634651,"85,70,00,499.30",36441
19-Jan-2026,EQ,"1,405.20","1,417.60","1,395.00","1,411.40","1,398.00","1,398.40","1,404.20","1,600.00","1,135.00",592965,"83,26,38,536.20",15487
16-Jan-2026,EQ,"1,440.00","1,448.50","1,407.00","1,439.90","1,407.00","1,411.40","1,423.21","1,699.00","1,135.00",432002,"61,48,30,251.50",24528
14-Jan-2026,EQ,"1,459.00","1,459.00","1,429.10","1,460.70","1,438.40","1,439.90","1,440.97","1,699.00","1,135.00",464407,"66,91,97,211.20",24487
13-Jan-2026,EQ,"1,470.00","1,479.80","1,445.50","1,468.20","1,455.00","1,460.70","1,458.20","1,699.00","1,135.00",403722,"58,87,08,961.90",17536
12-Jan-2026,EQ,"1,461.00","1,483.30","1,457.00","1,466.80","1,470.00","1,468.20","1,469.72","1,699.00","1,135.00",802829,"1,17,99,30,356.80",27272
09-Jan-2026,EQ,"1,465.00","1,482.80","1,458.00","1,469.10","1,470.50","1,466.80","1,469.79","1,833.10","1,135.00",368916,"54,22,27,688.00",22372
08-Jan-2026,EQ,"1,507.70","1,512.00","1,465.10","1,507.60","1,466.00","1,469.10","1,479.34","1,833.10","1,135.00",375644,"55,57,05,499.20",25423
07-Jan-2026,EQ,"1,485.00","1,517.90","1,482.40","1,486.20","1,507.00","1,507.60","1,504.72","1,833.10","1,135.00",1046719,"1,57,50,15,279.10",24971
06-Jan-2026,EQ,"1,476.80","1,505.00","1,472.80","1,476.80","1,489.50","1,486.20","1,488.91","1,833.10","1,135.00",1231903,"1,83,41,94,920.10",36134
05-Jan-2026,EQ,"1,429.50","1,494.60","1,423.20","1,430.20","1,476.00","1,476.80","1,472.31","1,833.10","1,135.00",1588073,"2,33,81,34,791.90",60551
02-Jan-2026,EQ,"1,389.00","1,447.60","1,386.90","1,384.30","1,429.50","1,430.20","1,426.93","1,859.40","1,135.00",1109054,"1,58,25,42,470.20",41747
01-Jan-2026,EQ,"1,361.20","1,388.00","1,361.20","1,361.20","1,385.00","1,384.30","1,380.79","1,859.40","1,135.00",283325,"39,12,11,540.40",12430
31-Dec-2025,EQ,"1,350.70","1,375.00","1,343.70","1,350.70","1,361.50","1,361.20","1,360.19","1,859.40","1,135.00",326590,"44,42,25,204.30",29254
30-Dec-2025,EQ,"1,377.00","1,378.80","1,346.40","1,380.10","1,348.20","1,350.70","1,359.76","1,859.40","1,135.00",367193,"49,92,96,108.90",26722
29-Dec-2025,EQ,"1,384.50","1,399.30","1,376.00","1,381.10","1,377.00","1,380.10","1,386.56","1,859.40","1,135.00",423594,"58,73,40,420.80",18414
26-Dec-2025,EQ,"1,390.00","1,412.40","1,377.00","1,394.70","1,384.50","1,381.10","1,391.53","1,859.40","1,135.00",281489,"39,17,00,589.80",13814
24-Dec-2025,EQ,"1,385.60","1,420.00","1,377.80","1,385.60","1,391.40","1,394.70","1,403.45","1,859.40","1,135.00",476963,"66,93,93,430.70",22816
23-Dec-2025,EQ,"1,388.80","1,391.90","1,376.20","1,388.00","1,380.00","1,385.60","1,384.00","1,859.40","1,135.00",232195,"32,13,57,738.30",11048
22-Dec-2025,EQ,"1,375.50","1,392.70","1,372.00","1,375.50","1,385.00","1,388.00","1,386.23","1,859.40","1,135.00",201211,"27,89,24,725.20",12657
19-Dec-2025,EQ,"1,397.00","1,415.00","1,364.50","1,401.70","1,372.60","1,375.50","1,381.11","1,859.40","1,135.00",1059210,"1,46,28,81,532.80",19818
18-Dec-2025,EQ,"1,377.10","1,425.90","1,370.40","1,380.50","1,398.00","1,401.70","1,404.97","1,859.40","1,135.00",1063259,"1,49,38,43,656.00",34809
17-Dec-2025,EQ,"1,390.00","1,396.00","1,375.70","1,394.30","1,380.40","1,380.50","1,384.73","1,859.40","1,135.00",662702,"91,76,61,198.00",15947
16-Dec-2025,EQ,"1,380.00","1,402.30","1,375.50","1,388.90","1,389.00","1,394.30","1,392.05","1,859.40","1,135.00",569307,"79,25,02,072.30",21321
15-Dec-2025,EQ,"1,370.10","1,391.00","1,362.00","1,377.20","1,385.60","1,388.90","1,380.13","1,859.40","1,135.00",215764,"29,77,83,202.90",13713
12-Dec-2025,EQ,"1,355.00","1,379.70","1,353.60","1,353.40","1,376.00","1,377.20","1,366.30","1,859.40","1,135.00",371973,"50,82,26,420.90",20590
11-Dec-2025,EQ,"1,331.00","1,356.00","1,327.70","1,340.90","1,355.00","1,353.40","1,346.85","1,859.40","1,135.00",454556,"61,22,16,523.20",14768
10-Dec-2025,EQ,"1,331.10","1,345.70","1,327.30","1,335.90","1,330.30","1,340.90","1,338.80","1,859.40","1,135.00",610249,"81,70,02,542.70",17319
09-Dec-2025,EQ,"1,315.00","1,339.90","1,310.00","1,322.50","1,332.50","1,335.90","1,331.21","1,859.40","1,135.00",529692,"70,51,31,429.30",20398
08-Dec-2025,EQ,"1,326.00","1,329.90","1,309.50","1,327.00","1,318.00","1,322.50","1,319.99","1,859.40","1,135.00",335954,"44,34,57,572.60",12644
05-Dec-2025,EQ,"1,325.00","1,330.80","1,312.50","1,329.40","1,325.80","1,327.00","1,324.11","1,859.40","1,135.00",568640,"75,29,40,658.80",21989
04-Dec-2025,EQ,"1,329.50","1,343.40","1,325.60","1,335.90","1,327.10","1,329.40","1,335.21","1,859.40","1,135.00",509272,"67,99,86,160.80",12241
03-Dec-2025,EQ,"1,342.00","1,375.00","1,330.50","1,352.90","1,333.60","1,335.90","1,340.70","1,859.40","1,135.00",845596,"1,13,36,92,953.80",15312
02-Dec-2025,EQ,"1,355.00","1,367.60","1,341.90","1,360.40","1,352.00","1,352.90","1,351.22","1,859.40","1,135.00",1208807,"1,63,33,59,124.10",24959
01-Dec-2025,EQ,"1,375.00","1,384.70","1,356.00","1,376.30","1,360.80","1,360.40","1,366.47","1,859.40","1,135.00",512237,"69,99,56,365.70",27503
